"","Tags","","","","","","","",""
"Name","Date","What headphones are you using?","How would you describe your knowledge of audio quality?","Audio Question 1 ","Audio Question 2 ","Audio Question 3 ","Audio Question 4 ","Audio Question 5 ","Audio Question 6 "
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 02:04:54","In ear","I don't normally pay special attention to audio quality.","B,","B,","B,","B,","B,","Neither, they sound too similar,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 02:04:19","Over ear","I am an audio enthusiast but I don't work in the area.","B,","B,","B,","B,","A,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 02:03:51","In ear","I am a professional working in the area of audio.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 02:03:28","In ear","I am an audio enthusiast but I don't work in the area.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 02:02:56","In ear","I am a professional working in the area of audio.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 02:02:32","On ear","I don't normally pay special attention to audio quality.","Neither, they sound too similar,","Neither, they sound too similar,","Neither, they sound too similar,","A,","A,","A,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 02:02:10","Over ear","I don't normally pay special attention to audio quality.","A,","A,","A,","Neither, they sound too similar,","Neither, they sound too similar,","Neither, they sound too similar,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 02:01:48","In ear","I am an audio enthusiast but I don't work in the area.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:59:45","Over ear","I am an audio enthusiast but I don't work in the area.","B,","B,","Neither, they sound too similar,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:59:13","In ear","I am a professional working in the area of audio.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:58:49","On ear","I don't normally pay special attention to audio quality.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:54:17","In ear","I am a professional working in the area of audio.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:53:30","In ear","I am a professional working in the area of audio.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:48:48","In ear","I don't normally pay special attention to audio quality.","B,","Neither, they sound too similar,","B,","Neither, they sound too similar,","B,","Neither, they sound too similar,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:48:23","Over ear","I am an audio enthusiast but I don't work in the area.","Neither, they sound too similar,","B,","Neither, they sound too similar,","B,","Neither, they sound too similar,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:46:44","Over ear","I don't normally pay special attention to audio quality.","Neither, they sound too similar,","Neither, they sound too similar,","Neither, they sound too similar,","Neither, they sound too similar,","Neither, they sound too similar,","Neither, they sound too similar,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:46:23","In ear","I don't normally pay special attention to audio quality.","A,","A,","A,","A,","A,","A,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:45:29","In ear","I am an audio enthusiast but I don't work in the area.","B,","B,","B,","Neither, they sound too similar,","Neither, they sound too similar,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:43:40","Over ear","I don't normally pay special attention to audio quality.","Neither, they sound too similar,","B,","B,","Neither, they sound too similar,","B,","Neither, they sound too similar,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:41:47","In ear","I don't normally pay special attention to audio quality.","A,","Neither, they sound too similar,","A,","Neither, they sound too similar,","A,","Neither, they sound too similar,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:41:19","In ear","I am a professional working in the area of audio.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:40:09","On ear","I don't normally pay special attention to audio quality.","A,","A,","A,","A,","A,","A,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:28:28","Over ear","I am an audio enthusiast but I don't work in the area.","B,","B,","Neither, they sound too similar,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:27:01","In ear","I am a professional working in the area of audio.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:26:15","Over ear","I don't normally pay special attention to audio quality.","B,","Neither, they sound too similar,","Neither, they sound too similar,","Neither, they sound too similar,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-09 15:13:51","On ear","I am an audio enthusiast but I don't work in the area.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-09 15:11:58","On ear","I am an audio enthusiast but I don't work in the area.","B,","B,","B,","B,","B,","Neither, they sound too similar,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-09 15:11:41","On ear","I am an audio enthusiast but I don't work in the area.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-08 19:39:18","On ear","I don't normally pay special attention to audio quality.","B,","B,","Neither, they sound too similar,","B,","A,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-08 12:45:42","In ear","I don't normally pay special attention to audio quality.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-08 11:17:45","In ear","I am an audio enthusiast but I don't work in the area.","B,","B,","A,","Neither, they sound too similar,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-08 09:21:43","In ear","I don't normally pay special attention to audio quality.","B,","Neither, they sound too similar,","B,","B,","A,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-08 05:16:59","In ear","I am an audio enthusiast but I don't work in the area.","B,","A,","B,","B,","B,","A,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-08 01:55:14","On ear","I am an audio enthusiast but I don't work in the area.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-08 01:51:24","Over ear","I am an audio enthusiast but I don't work in the area.","B,","B,","A,","A,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-08 01:06:08","On ear","I am an audio enthusiast but I don't work in the area.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-07 22:46:40","On ear","I am an audio enthusiast but I don't work in the area.","B,","B,","B,","A,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-07 18:52:35","In ear","I am an audio enthusiast but I don't work in the area.","B,","A,What do you mean by ""natural""?","Neither, they sound too similar,What is ""a better sense of depth""?","Neither, they sound too similar,","A,","Neither, they sound too similar,I cannot answer because I don't understand your question"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-07 18:16:00","In ear","I don't normally pay special attention to audio quality.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-07 17:59:07","In ear","I am an audio enthusiast but I don't work in the area.","B,","B,","A,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-07 17:57:59","On ear","I don't normally pay special attention to audio quality.","Neither, they sound too similar,","B,","Neither, they sound too similar,","B,","Neither, they sound too similar,","Neither, they sound too similar,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-07 16:59:18","Over ear","I am a professional working in the area of audio.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-07 15:00:15","In ear","I am an audio enthusiast but I don't work in the area.","B,","A,","A,","B,","A,","A,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-07 14:56:09","In ear","I don't normally pay special attention to audio quality.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-07 14:42:48","On ear","I am an audio enthusiast but I don't work in the area.","Neither, they sound too similar,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-07 14:40:53","On ear","I am an audio enthusiast but I don't work in the area.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-07 14:40:09","On ear","I am an audio enthusiast but I don't work in the area.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-07 14:22:57","On ear","I am an audio enthusiast but I don't work in the area.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-07 14:19:50","On ear","I am an audio enthusiast but I don't work in the area.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-07 14:11:31","In ear","I don't normally pay special attention to audio quality.","B,","B,","B,","B,","B,","B,"
